Lag,Hemmavinst,Hemmaförlust,Bortavinst,Bortaförlust,Oavgjort Hemma,Oavgjort Borta,Säsong
Eslövs PK,4,0,4,0,1,1,2023/2024
Köpings BTK,2,2,3,0,1,2,2023/2024
BTK Frej,3,0,1,1,2,3,2023/2024
Halmstad BTK,2,2,2,2,1,1,2023/2024
IK Juno,0,5,0,5,0,0,2023/2024
Eslövs PK,6,1,7,0,0,0,2022/2023
Köpings BTK,6,1,6,1,0,0,2022/2023
IK Juno,6,1,3,4,0,0,2022/2023
Halmstad BTK,5,2,4,3,0,0,2022/2023
Lekstorps IF,3,4,2,5,0,0,2022/2023
BTK Frej,2,5,0,7,0,0,2022/2023
Lyckeby BTK,1,6,0,7,0,0,2022/2023
Eslövs PK,5,0,5,0,0,0,2021/2022
Halmstad BTK,4,1,4,1,0,0,2021/2022
Köpings BTK,3,2,3,2,0,0,2021/2022
IK Juno,1,4,1,4,0,0,2021/2022
Lyckeby BTK,0,5,0,5,0,0,2021/2022
Eslövs PK,5,1,6,0,0,0,2020/2021
Köpings BTK,3,3,5,1,0,0,2020/2021
Lekstorps IF,3,3,5,1,0,0,2020/2021
Halmstad BTK,4,2,4,2,0,0,2020/2021
Eskilstuna BTK,2,4,2,4,0,0,2020/2021
IK Juno,1,5,1,5,0,0,2020/2021
Lyckeby BTK,1,5,0,6,0,0,2020/2021
Storfors BTK,7,0,3,2,0,2,2019/2020
Halmstad BTK,6,1,4,2,0,1,2019/2020
Eslövs PK,6,1,4,3,0,0,2019/2020
Arvika BTK,5,1,3,3,1,1,2019/2020
Köpings BTK,1,2,3,2,4,2,2019/2020
Lekstorps IF,2,3,2,4,2,1,2019/2020
IK Juno,1,6,1,4,0,2,2019/2020
Eskilstuna BTK,0,7,0,7,0,0,2019/2020
Storfors BTK,6,1,5,0,0,2,2018/2019
Eslövs PK,6,0,5,2,1,0,2018/2019
Köpings BTK,6,0,3,3,1,0,2018/2019
Halmstad BTK,3,4,3,3,0,1,2018/2019
Arvika BTK,1,5,4,3,1,0,2018/2019
IK Juno,1,5,3,4,1,0,2018/2019
Spårvägens BTK,2,5,1,6,0,0,2018/2019
Lyckeby BTK,1,6,1,5,0,1,2018/2019
Eslövs PK,6,0,6,1,1,0,2017/2018
Storfors BTK,5,1,5,2,0,1,2017/2018
Köpings BTK,4,2,5,2,1,0,2017/2018
Halmstad BTK,2,4,3,2,1,2,2017/2018
Arvika BTK,2,5,4,3,0,0,2017/2018
Spårvägens BTK,3,3,2,4,1,1,2017/2018
IK Juno,2,5,2,4,0,1,2017/2018
Dänningelanda BTK,0,6,0,7,1,0,2017/2018
